reference_id,recieved_at,university,caller_name,outcome_1,remark,campaign_id
364455,2023-02-05 11:09:00,Illinois Institute of Technology,Poppy,Not connected,,IANF23
369505,2023-02-05 11:22:00,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23
343659,2023-02-05 11:29:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
362191,2023-02-05 11:30:00,Illinois Institute of Technology,Poppy,Reschedule,,IANF23
337122,2023-02-05 11:32:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
354665,2023-02-05 11:32:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
369665,2023-02-05 11:34:00,Illinois Institute of Technology,Isha,Completed application,,IANF23
351306,2023-02-05 11:35:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
343924,2023-02-05 11:36:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
351290,2023-02-05 11:36:00,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23
357907,2023-02-05 11:39:00,Illinois Institute of Technology,Shailja,Want to defer,,IANF23
347865,2023-02-05 11:40:00,Illinois Institute of Technology,Poppy,Not connected,,IANF23
355849,2023-02-05 11:41:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
360723,2023-02-05 11:46:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
346985,2023-02-05 11:53:00,Illinois Institute of Technology,Shailja,Not interested,another uni,IANF23
356025,2023-02-05 11:56:00,Illinois Institute of Technology,Poppy,Not connected,,IANF23
367958,2023-02-05 11:57:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
349858,2023-02-05 12:01:00,Illinois Institute of Technology,Isha,Completed application,,IANF23
351151,2023-02-05 12:03:00,Illinois Institute of Technology,Isha,Disconnected,,IANF23
344684,2023-02-05 12:04:00,Illinois Institute of Technology,Poppy,Not interested,Dropped the idea,IANF23
369905,2023-02-05 12:05:00,Illinois Institute of Technology,Isha,Will Submit the docx,before the deadline,IANF23
370650,2023-02-05 12:08:00,Illinois Institute of Technology,Isha,Not interested,financial problem,IANF23
355984,2023-02-05 12:11:00,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23
344811,2023-02-05 12:13:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
351600,2023-02-05 12:13:00,Illinois Institute of Technology,Poppy,Not connected,,IANF23
365969,2023-02-05 12:15:00,Illinois Institute of Technology,Isha,Not interested,got admitted in university,IANF23
369415,2023-02-05 12:15:00,Illinois Institute of Technology,Shailja,Will Submit the docx,but wanted to change the programme asked him to drop a mail,IANF23
350986,2023-02-05 12:17:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
360262,2023-02-05 12:17:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
347215,2023-02-05 12:18:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
345125,2023-02-05 12:20:00,Illinois Institute of Technology,Poppy,Not connected,,IANF23
367981,2023-02-05 12:49:00,Illinois Institute of Technology,Poppy,Disconnected,,IANF23
349480,2023-02-05 12:50:00,Illinois Institute of Technology,Poppy,Not connected,,IANF23
357094,2023-02-05 13:14:00,Illinois Institute of Technology,Poppy,Want to defer,He wrote a mail regarding deferring his program but till now he didn't get any response from our end as he got automated mail that he can mail using the portal but not getting any option. kindly look into it,IANF23
347104,2023-02-05 13:16:00,Illinois Institute of Technology,Poppy,Not connected,,IANF23
337271,2023-02-05 13:16:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
337271,2023-02-05 13:17:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
346873,2023-02-05 13:20:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
364978,2023-02-05 13:22:00,Illinois Institute of Technology,Shailja,Reschedule,,IANF23
359026,2023-02-05 13:24:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
357341,2023-02-05 13:25:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
356454,2023-02-05 13:42:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
358677,2023-02-05 13:47:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
